Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hungary,5.961001,6.578746,7.964999,8.962581,9.671107,11.484859,12.620582,13.872885,14.84507,16.235968,16.795448,17.704218,17.630704,18.079409,18.022961,19.262339,19.291168,19.024329,19.830806,19.054673,19.459654,16.832609,18.22179,18.391033,19.823687,22.330717,21.471983,21.502732,21.888778,21.180201,23.585495,24.059646,26.39183,25.633167,26.637867,25.228086,23.714244,23.502438,20.323689,21.385444,20.252245,17.928443,16.977212,15.515274,16.556125,17.727745,18.731083,18.052145
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,1.08609,1.724132,2.605991,3.883893,3.972048,4.184106,4.513301,2.202172,2.161982,2.763974,3.308559,3.310882,3.379871,3.358191,4.044612,4.02696,4.359458,5.145688,5.305792,5.429279,5.97738,7.105356,7.247688,7.660696,8.522812,8.449037,8.000104,9.096723,9.819725,10.239884,9.892129,10.816291,9.386173,9.128015,8.742224,8.420236,8.472262,9.693613,9.955063,10.334988
Italy,24.066109,27.836096,31.505003,35.388491,41.005756,49.792279,50.917398,45.218138,46.865928,46.350275,45.672648,46.401219,47.964995,56.183556,57.044207,60.721395,68.646052,74.793513,81.349185,87.07253,92.229982,90.748555,94.882676,92.037211,101.857415,105.571712,108.839274,117.641852,127.662905,133.154247,133.680757,133.102545,146.537329,151.6503,162.461017,159.202847,160.202751,160.828473,147.888139,157.378795,148.080102,142.213214,132.764768,117.261005,127.929593,134.234885,142.269752,137.63221
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.582881,5.545013,3.96922,2.588926,1.886105,2.317037,1.976078,2.418674,2.368335,2.268769,2.52238,2.931298,3.001378,3.122958,3.099429,3.180012,3.288818,3.174559,3.112304,2.846577,3.418577,2.997894,2.816484,2.798761,2.507636,2.560954,2.589329,2.305542,2.71614
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.381799,9.623596,5.587375,3.074437,3.235803,3.524606,3.696777,3.499159,2.873992,2.974215,3.493706,3.53117,3.616246,4.004766,4.161588,4.566164,4.437415,4.332749,4.026325,3.887377,4.722381,4.1216,3.886266,3.292301,2.797398,2.643959,2.350815,2.174907,2.156175
Luxembourg,0.035696,0.265073,0.513483,0.688078,0.806376,0.921645,0.973447,1.066854,1.10664,0.996723,0.763358,0.639658,0.609919,0.65637,0.712363,0.709435,0.80582,0.833186,0.952241,1.008841,1.047213,1.091392,1.128654,1.142033,1.304914,1.429675,1.467643,1.481225,1.540501,1.576854,1.752912,2.505768,2.536517,2.80886,2.762805,2.889909,2.697485,2.567755,2.612887,2.810537,2.426077,2.477212,2.09915,1.990014,1.817288,1.676583,1.640585,1.61737
Netherlands,47.268233,61.443755,67.934245,72.359087,69.131615,72.072961,73.274572,73.304815,73.651732,67.014317,63.866922,62.214535,66.063135,68.56234,72.356361,72.265226,74.406204,66.79418,68.706641,68.999331,77.290748,75.175621,77.681945,74.546162,76.789332,85.959781,79.788842,78.942024,77.070057,77.100704,79.391991,78.691392,79.285406,81.161312,78.464995,75.633767,73.195454,76.994422,77.851541,87.180225,75.703292,72.27418,73.1218,63.305147,63.328458,65.508216,67.289692,66.00521
Norway,0,0,0,0.028527,0.408414,0.683635,0.964157,1.629363,1.527928,2.041008,1.997637,2.224286,2.652341,2.351925,2.770285,4.99644,3.484769,4.049248,4.22465,4.641344,4.537486,7.603542,8.680645,9.223109,8.130253,7.00882,9.211244,10.114359,11.172882,7.402187,8.118135,8.317874,8.928147,9.417799,9.255221,9.564473,9.846206,9.997626,11.000811,13.497391,12.398173,11.709035,11.70227,12.282602,12.633608,12.446997,12.679553,12.566817
Poland,10.30824,10.779514,10.682069,10.639808,11.473045,12.92337,13.961141,14.740202,14.97387,15.245001,14.725661,14.47311,14.594186,15.188603,15.601814,16.284742,16.314076,16.495841,16.155689,15.548194,14.287508,13.959172,14.073179,14.930043,15.428988,16.15781,17.22123,17.040577,17.24289,17.837915,18.839788,19.554019,20.768607,22.346925,23.178192,23.438417,23.611497,23.766855,23.764582,25.465389,25.394349,26.404149,26.4866,25.212333,26.137713,28.075217,29.614305,30.456961
