Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.807113,2.486094,2.197357,2.015359,1.530715,1.107038,1.037953,0.931127,0.683687,0.514927,0.544757,0.504571,0.409813,0.339096,0.271669,0.326239,0.347111,0.422883,0.418998,0.338563,0.427062,0.440599,0.365805,0.288767,0.236532,0.185157,0.164118,0.16127,0.190724
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.15405,3.522573,1.647433,1.454897,1.208794,0.970743,0.886834,0.72891,0.638941,0.540415,0.371663,0.330807,0.537487,0.697601,0.675955,0.751201,1.018582,1.01419,0.859433,0.680554,0.836908,0.967153,0.946745,1.08583,0.916979,0.729445,0.747054,0.796779,0.855023
Luxembourg,12.304146,11.506419,12.093814,11.027244,8.115803,8.590488,7.902938,9.014545,8.419375,8.396464,6.839842,6.314471,5.842549,6.698425,6.658426,6.07991,4.943635,5.277003,5.533137,5.236607,4.884052,4.338613,4.601413,3.815857,2.108968,1.914322,1.243279,0.376826,0.381299,0.43798,0.471019,0.295463,0.227246,0.317897,0.311416,0.37177,0.315568,0.301234,0.267946,0.269082,0.233644,0.21491,0.191761,0.213348,0.196652,0.209373,0.180917,0.168032
Netherlands,15.229963,14.270295,15.971315,15.051121,12.386208,10.875781,11.034705,12.288527,12.707302,14.437605,17.010316,19.248371,20.196994,24.059519,23.989151,24.937504,26.507054,32.028876,31.718829,29.873122,27.187785,27.188762,28.280449,30.502792,33.735405,32.395154,31.760091,32.593525,28.473467,29.712025,31.761517,31.992167,33.043158,32.537003,31.064214,29.646957,32.313894,30.43757,28.525238,29.050842,28.370138,31.450843,31.647231,35.152435,43.053027,39.986607,36.049726,32.5675
Norway,3.820668,4.073085,3.860205,4.271359,3.981353,3.909728,3.44948,3.466911,4.333184,3.985206,3.96372,3.81467,4.110268,4.580072,4.513453,4.015427,3.858108,4.061202,3.581925,3.518558,3.131512,3.20108,3.193576,3.579839,3.850254,3.867286,3.848477,3.999278,3.902583,3.9844,3.522291,2.95469,2.941525,3.395917,2.88276,2.528935,2.800202,2.883862,2.067193,2.622481,2.749894,2.911023,2.953787,2.951452,2.90747,3.021392,3.111808,3.01295
Poland,254.538829,262.708934,273.257901,283.793019,292.683556,311.944534,319.789519,342.001594,346.977846,356.893539,330.671393,339.150755,340.116524,354.036165,365.911287,369.419787,384.679973,372.323645,353.565713,291.133817,293.408971,284.617162,283.919835,274.685974,273.496554,284.364928,269.172212,244.593562,233.018537,221.422692,219.661629,213.678938,219.62539,218.494342,215.547609,224.85493,220.110954,214.038783,203.350253,214.615224,210.825456,206.658837,206.647493,194.791861,193.525144,194.038479,195.697947,191.85495
Portugal,2.50876,1.667663,2.074948,1.698958,1.67099,1.591308,1.61005,1.680571,1.731369,1.651863,1.436834,1.179326,1.55383,1.420577,2.930471,5.506052,7.076569,8.125174,9.638783,10.804792,11.339455,11.646764,12.436459,13.797405,14.171363,13.639876,13.652269,12.550369,14.932229,14.959671,12.61345,13.771556,12.977286,13.127297,13.383282,13.218948,11.411457,9.974799,11.316287,6.528915,8.826561,11.588085,10.51023,10.621507,12.912047,11.274425,12.866798,10.676769
Slovak Republic,24.177861,24.215915,24.234257,23.889054,24.205955,23.474899,24.149474,27.97019,27.061127,32.793598,31.895155,32.484317,32.706031,34.445468,34.158352,31.459542,33.070446,34.437582,33.090366,31.411328,27.95205,24.749434,23.918746,21.059258,21.568284,20.52815,19.602118,17.96758,17.313189,16.36442,16.584583,15.82978,17.626112,16.948978,16.016733,16.617718,16.160896,15.537601,14.720604,14.461877,14.119922,13.11878,13.017072,12.683745,12.069481,11.869806,12.439581,12.32301
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.434291,7.640849,7.19397,7.113427,6.648466,6.068386,6.241356,6.086672,5.542985,5.766649,5.41914,5.837704,6.186508,5.52169,5.628332,6.102002,6.535566,6.1139,6.213541,6.254768,6.405136,6.514846,6.336919,5.893662,6.010204,6.09673,5.788799,5.588234,4.393972,4.440118,4.754446,4.733912,4.623432
Spain,38.18709,39.056646,36.999319,35.937906,38.835605,37.290716,41.669414,37.374356,41.204007,49.044662,59.611909,67.027356,71.38861,72.374711,70.721526,73.464887,71.63332,61.56858,76.284271,75.218479,75.475364,80.13637,71.363865,71.026232,72.910484,60.935408,69.382609,66.813987,76.473486,83.413902,75.596539,85.362392,79.194118,81.66691,81.89573,70.514659,80.057791,54.276342,41.417325,32.416666,51.302744,59.766896,44.698928,47.423412,53.245092,39.38293,49.493491,43.326795
Sweden,5.517143,4.569924,6.354221,6.647443,6.998548,6.033397,4.983171,5.331526,5.917527,5.459875,4.784921,5.487832,7.347049,8.949825,10.745119,11.460475,11.418486,11.167405,10.371855,10.50759,10.922443,9.943907,9.966626,9.682214,9.569719,11.229853,9.181785,8.962091,8.707063,8.313923,8.590299,10.083149,10.740269,11.133964,10.052109,9.145691,9.054565,9.109359,6.363153,9.165689,8.516352,7.331826,7.542907,6.834622,6.911274,6.573472,6.851904,6.977041
Switzerland,1.921059,1.536663,1.57,1.441381,0.966229,0.902402,0.963768,0.884486,0.963742,1.376724,1.968698,1.766465,1.532082,2.036939,2.048524,1.769657,1.642541,1.405182,1.444283,1.431155,1.21321,0.843921,0.704594,0.710619,0.763619,0.574445,0.446736,0.371496,0.388144,0.552198,0.584503,0.53849,0.54828,0.522551,0.599299,0.608374,0.713777,0.6449,0.598269,0.602822,0.571895,0.515333,0.526909,0.583924,0.537675,0.477872,0.459009,0.424977
Turkey,16.413697,19.940148,19.12298,20.601085,21.226057,23.542367,23.286697,24.363978,25.43457,27.624282,28.162817,31.303592,34.366129,39.264332,46.398917,51.256371,55.076157,50.685492,56.682151,61.195288,65.460074,65.98098,62.400908,61.688656,64.569043,74.937286,82.275958,84.193115,77.687075,91.590021,76.38223,79.847038,84.506584,87.922452,88.57357,105.352103,119.312423,115.914882,119.969137,125.595569,131.011689,138.444785,120.008614,132.892792,135.480003,151.681229,156.778172,161.129013
