Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hungary,18.431373,20.498557,22.671322,25.135824,26.741511,26.842245,29.290029,32.546329,30.737162,29.046037,27.98491,26.281477,24.315147,25.369176,26.075312,24.170951,24.905612,22.303044,22.033963,21.94785,20.717026,20.905052,20.629242,20.259221,18.773568,17.551129,17.739985,18.303572,18.20509,16.427843,16.246447,15.325903,15.180464,14.805298,15.23729,16.392146,16.225753,16.012519,15.994376,14.687561,14.78068,13.925907,13.751078,15.046564,16.125422,16.521279,17.255955,18.390861
Iceland,1.401696,1.495589,1.66378,1.661571,1.614157,1.59045,1.634358,1.75792,1.768532,1.672355,1.603301,1.434394,1.413191,1.441355,1.359352,1.402965,1.502666,1.58303,1.570757,1.626285,1.591289,1.70696,1.754252,1.769673,1.732404,1.954058,1.870643,1.820763,1.812443,1.747299,1.714373,1.796481,1.806618,1.83303,1.816845,1.899421,1.863819,1.723587,1.720402,1.57006,1.488618,1.470496,1.623895,1.683337,1.669121,1.651614,1.743728,1.740325
Ireland,12.717511,13.089597,13.896141,14.60402,13.897907,14.279834,15.443154,16.323205,17.462897,16.074083,14.415323,12.231472,11.334013,11.298097,11.239674,13.69832,12.124749,10.362971,10.698751,12.103446,13.182889,13.743554,13.747563,15.535142,15.779835,16.348562,18.018537,20.424578,23.060363,23.167214,24.590988,23.533632,22.996369,24.182213,25.405304,26.513821,25.236656,24.574689,21.438405,20.499781,17.84538,17.236064,17.173289,17.074099,17.561983,18.281612,17.871048,18.552348
Italy,232.726674,247.890351,266.152331,260.727092,244.705105,257.157891,246.577632,258.731531,267.483375,264.567961,251.429483,242.268478,240.896447,229.182182,225.207448,227.67192,237.926437,239.175542,250.069001,244.816658,242.021435,249.57122,247.879016,243.571199,253.08185,250.249246,249.911885,250.709998,247.023035,242.459969,236.308519,242.325064,240.983602,237.05265,227.305721,224.920362,215.886304,205.121274,184.981049,177.609765,171.912372,158.26795,146.660594,145.646213,148.738217,143.542272,137.190037,140.211303
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.387412,9.17035,7.666348,7.13725,6.73012,5.478465,5.889541,5.071137,4.975817,4.62647,3.77402,3.811406,3.82353,3.960704,4.063639,4.048191,4.376032,4.732818,4.376882,3.991414,4.128218,3.670587,3.582282,3.601093,3.710177,3.872512,3.894555,4.105406,4.1344
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.679322,21.140771,11.992596,10.843001,9.986244,8.938858,9.331105,9.329444,10.78177,8.385301,6.356374,7.008235,6.777513,6.235725,6.725717,7.126585,7.046007,7.337065,7.724986,6.839409,6.755426,6.436542,6.698318,6.425631,6.66591,7.07552,7.438028,7.662202,7.961228
Luxembourg,4.132409,4.346144,4.84068,4.296743,3.816989,4.129854,4.047307,4.046191,3.701295,3.016929,2.892952,2.886632,2.748033,2.710586,2.920048,3.195246,3.629506,3.710634,4.101647,4.459455,5.265455,5.442687,5.442531,5.325987,4.774083,4.935373,5.054648,5.200156,5.460346,5.941338,6.312827,6.404562,6.92995,7.934384,8.247288,7.859714,7.535374,7.603076,7.074936,7.435745,7.702646,7.464121,7.328977,6.926497,6.631474,6.458131,6.63418,6.985542
Netherlands,65.180922,66.786833,64.544535,52.738606,50.444187,57.774753,54.212195,57.41876,66.795925,63.96538,62.388641,53.456447,44.212492,42.687293,42.051212,44.259143,44.456056,44.514907,45.983072,48.018833,48.451367,49.348814,50.535587,50.604527,51.847196,53.248279,52.400956,52.639486,53.147275,52.58041,53.193918,53.830106,54.999166,55.265056,55.203765,55.337541,55.839819,54.475288,50.837227,51.749558,51.420201,50.56357,48.969151,47.899742,48.418003,49.236504,48.985769,49.02408
Norway,19.180384,19.485679,19.508181,18.398659,19.213555,20.749622,22.169735,21.987887,22.937273,21.209271,19.50753,18.286914,17.590036,18.057985,19.013711,20.518001,20.018243,19.397354,19.08546,19.100543,17.99766,17.811879,18.37653,19.047838,19.203164,21.258126,20.839147,21.399903,21.883587,20.245953,20.934377,20.92502,22.782401,22.387205,21.964743,22.964348,22.97762,21.97991,22.160751,23.131686,22.182935,21.531241,21.19972,20.651836,20.532393,19.945925,18.66523,19.245187
Poland,21.392995,24.646289,27.439076,29.208315,32.786591,35.667722,38.686345,41.040834,42.028681,41.581438,38.061898,35.648091,36.754785,37.543336,37.832946,38.568933,39.050294,39.616439,39.418754,33.459115,33.491245,34.602375,36.460837,38.292142,39.391709,44.69929,48.425058,49.943737,52.04018,49.716717,49.539441,48.658873,51.952454,55.154504,56.637438,58.177095,61.25885,62.392601,62.471455,65.283118,64.61008,61.588103,56.783777,56.407083,60.163827,67.28661,76.031256,78.168859
